#{"t_start": 1679226468.2203705, "env_id": null}
r,l,t
-121.393967,1500,0.418898
-122.115186,1500,0.821972
-123.065682,1500,1.215522
-120.943784,1500,1.605012
-121.690073,1500,1.997895
-125.062175,1500,2.388584
-120.962865,1500,2.782914
-125.234151,1500,3.189936
-124.098412,1500,3.640019
-124.651532,1500,4.084594
-123.932952,1500,4.502182
-123.414598,1500,4.914662
-124.42566,1500,5.332418
-1.991016,20,5.338085
-123.119822,1500,5.762208
-123.913067,1500,6.178832
-123.31566,1500,6.594244
-126.31631,1500,7.00927
-122.036951,1500,7.423647
-125.122024,1500,7.838197
-121.118515,1500,8.253213
-123.184166,1500,8.667757
-120.321046,1500,9.082844
-123.535969,1500,9.498676
-124.534272,1500,9.915609
-123.464409,1500,10.330113
-123.786393,1500,10.748237
-123.929073,1500,11.165336
-121.189817,1500,11.580441
-123.355378,1500,11.996177
-125.344728,1500,12.412396
-124.866012,1500,12.830225
-125.944998,1500,13.251307
-124.626852,1500,13.670716
-121.194214,1500,14.72529
-131.517039,1500,16.078506
-128.806472,1500,17.43883
-128.63282,1500,18.798275
-129.713822,1500,20.150196
-128.651368,1500,21.514083
-131.779767,1500,22.892583
-116.618613,1500,24.262742
-104.930584,1500,25.639705
-104.33634,1500,26.995649
-103.575094,1500,28.364444
-100.157321,1500,29.726724
-100.249888,1500,31.095413
-97.640539,1500,32.470127
-92.749338,1500,33.8527
-86.370129,1500,35.22784
-91.021632,1500,36.608559
-83.309001,1500,37.991219
-85.235843,1500,39.381542
-84.711748,1500,40.762637
-83.960868,1500,42.15002
-81.64773,1500,43.534847
-79.998945,1500,44.938145
-77.694666,1500,46.343153
-77.780601,1500,47.766551
-77.434749,1500,49.175529
-74.688341,1500,50.598001
-75.9266,1500,52.013652
-2.203742,25,52.038837
-74.386516,1500,53.453332
-77.078956,1500,54.883415
-74.960481,1500,56.308072
-70.155291,1500,57.734521
-73.592288,1500,59.168071
-69.313368,1500,60.604985
-78.570421,1500,62.052723
-74.867389,1500,63.501581
-69.573607,1500,64.948969
-66.550478,1500,66.403504
-71.716359,1500,67.850262
-67.588383,1500,69.299817
-69.379435,1500,70.757902
-66.607312,1500,72.21343
-3.814402,56,72.267703
