#{"t_start": 1678658768.157276, "env_id": null}
r,l,t
-2.709413,32,0.048352
-132.97177,1500,1.188691
-40.32703,476,1.548777
-129.480564,1500,2.671028
-129.888765,1500,3.798839
-127.699611,1500,7.983784
-119.0458,1385,9.021683
-131.041867,1500,10.146586
-128.579362,1500,10.922833
-126.179441,1500,14.137963
-127.185117,1500,15.293535
-126.336604,1500,16.438116
-61.79278,762,17.006388
-71.825899,858,17.649016
-126.890656,1500,22.145925
-0.763733,14,22.15678
-22.283204,259,22.354753
-119.316275,1500,23.514997
-123.04291,1500,24.650183
-74.690336,933,25.343974
-42.752523,531,25.739952
-116.224574,1500,30.256074
-58.54934,774,30.852692
-35.344312,479,31.221123
-48.654981,689,31.746732
-69.215533,982,32.488187
-44.856795,611,32.945959
-32.749488,482,33.25469
-46.331645,639,33.577156
-24.27999,316,33.734818
-27.137231,395,33.935288
-19.465437,243,34.056994
-41.684635,532,37.309578
-84.701591,1211,38.239025
-28.328112,419,38.551134
-4.15852,62,38.597116
-105.24902,1500,39.724015
-5.488895,75,39.780073
-3.935375,50,39.817539
-24.214863,367,40.090139
-12.855273,193,40.232822
-32.177613,472,40.587666
-53.284258,729,41.129451
-50.073356,674,41.634069
-13.664175,190,41.775789
-0.796647,23,41.79283
-13.685071,193,45.302273
-3.425814,42,45.334113
-12.004262,197,45.482729
-32.797097,463,45.840179
-36.808361,553,46.261807
-10.323001,151,46.374666
-29.816336,507,46.749605
-17.106774,280,46.96289
-9.274237,138,47.065125
-7.307222,92,47.133479
-6.673416,103,47.209876
-4.052054,47,47.245247
-5.482962,60,47.289936
-4.264645,76,47.345983
-23.420239,347,47.608327
-2.353487,42,47.639648
-13.946452,210,47.796128
-11.100516,168,47.921282
-17.938231,265,48.117705
-12.449218,183,48.253455
-17.266822,254,48.445055
-13.139874,222,48.609029
-12.363852,168,48.733025
-9.185339,158,48.850063
-22.934604,334,49.101508
-3.038873,30,49.123617
-24.358245,352,49.382671
-4.633458,59,49.426457
-1.024721,22,49.442918
-24.693797,374,49.719974
-6.721676,140,53.190657
-8.667942,179,53.326047
-7.535919,114,53.412019
-3.348835,57,53.455622
-11.959251,190,53.599773
-3.052097,41,53.630254
-5.358317,58,53.674298
-11.999633,189,53.816955
-3.746664,68,53.868671
-5.397502,89,53.941035
-1.846018,25,53.959893
-6.79962,109,54.042168
-7.583376,128,54.138155
-1.476722,53,54.177321
-5.317643,68,54.228565
-33.525425,496,54.596437
-7.555907,144,54.708208
-1.686304,33,54.732502
-8.025231,151,54.843987
-6.84428,93,54.912744
-2.989652,45,54.945955
-9.392252,138,55.048332
-3.924592,55,55.089246
-1.862185,28,55.109851
-3.813934,52,55.148251
-7.049079,96,55.219586
-5.257102,89,55.284982
-12.216039,183,55.425352
-12.027489,264,55.619599
-4.715666,74,55.673923
-2.573637,28,55.694697
-13.932135,207,55.849215
-11.144525,188,55.988993
-4.400166,45,56.02249
-13.043738,229,56.196641
-10.506496,241,56.374353
-2.619614,26,56.393781
-3.00959,40,56.423791
