#{"t_start": 1679163328.104781, "env_id": null}
r,l,t
-59.848578,704,0.537016
-33.744713,390,0.851803
-6.617522,104,0.928244
-127.627736,1500,2.043275
-12.227389,149,2.152416
-2.754133,31,2.175215
-134.380938,1500,3.295132
-129.820554,1500,4.425664
-123.82499,1500,8.752068
-102.843164,1209,9.661069
-2.463838,31,9.686009
-7.234136,89,9.756405
-130.659423,1500,10.889013
-5.404108,58,10.931671
-97.329522,1131,11.807763
-3.373695,52,11.84602
-4.120125,38,11.873999
-122.670971,1500,16.428154
-125.427942,1500,17.585286
-3.309871,50,17.623044
-2.431136,19,17.637489
-103.008762,1268,18.698875
-124.323517,1500,19.854457
-110.571546,1414,23.984623
-96.670244,1243,24.9662
-2.184172,26,24.994764
-44.08336,623,25.533169
-2.481078,35,25.560202
-1.781095,32,25.584718
-89.350676,1120,26.484716
-2.073296,19,26.499168
-83.122278,1061,27.333316
-1.930271,22,27.351377
-1.798735,22,27.369401
-5.213162,70,27.433681
-21.401855,272,27.65304
-110.819688,1433,31.540626
-22.271011,316,31.797261
-3.666015,64,31.851478
-2.41193,39,31.88538
-2.963789,51,31.929817
-38.999536,533,32.387778
-1.094499,23,32.406727
-3.038208,50,32.447555
-1.420086,37,32.478114
-81.955844,1096,33.32723
-115.653226,1500,34.544895
-2.289049,41,34.578731
-12.660653,164,34.715194
-17.325788,228,34.91499
-2.295361,44,34.951314
-36.865001,496,35.373152
-61.169981,773,36.064933
-13.076208,194,36.243704
-3.483561,40,36.280488
-15.331403,219,36.482167
-4.57598,59,36.540482
-6.682944,98,38.88101
-47.924051,631,39.407791
-61.802698,889,40.094468
-2.608252,51,40.13274
-22.446185,307,40.36898
-23.774281,311,40.620595
-45.346293,603,41.132028
-3.413867,58,41.183764
-3.690491,36,41.215981
-27.12769,341,41.54197
-22.641731,282,41.796711
-2.214898,29,41.822285
-13.836834,186,41.9814
-72.072634,951,42.751204
-1.085055,16,42.763507
-4.389195,46,42.799789
-7.429478,83,42.8637
-16.501851,228,43.04928
-40.471928,545,43.506632
-17.072612,240,43.714697
-21.036869,263,46.154128
-3.185844,46,46.190699
-18.783429,273,46.409111
-4.589405,55,46.45219
-12.488739,160,46.576726
-1.148877,24,46.595199
-1.395838,20,46.610303
-19.297107,273,46.821761
-20.202544,266,47.049849
-3.433748,34,47.085166
-8.718086,151,47.217511
-10.134925,163,47.36341
-25.298253,350,47.671371
-17.655814,234,47.879199
-31.140446,440,48.252245
-2.963518,40,48.282853
-1.951299,31,48.306453
-1.37188,31,48.330091
-4.526222,56,48.373375
-2.213037,22,48.390354
