#{"t_start": 1679186827.0235212, "env_id": null}
r,l,t
-129.87568,1500,0.460991
-98.307646,1166,0.791554
-128.409587,1500,1.207446
-129.310302,1500,1.61076
-128.901042,1500,2.015064
-89.801486,1040,2.296693
-126.349303,1500,2.699228
-12.363328,145,2.736899
-3.132673,26,2.743757
-43.838255,506,2.900702
-3.63354,50,2.913799
-87.153547,1008,3.19552
-131.448976,1500,3.605063
-3.033255,39,3.615147
-128.532069,1500,4.046001
-130.274761,1500,4.456633
-131.101518,1500,4.896529
-132.468032,1500,5.373971
-2.47245,17,5.379659
-4.366584,49,5.405331
-2.992885,27,5.411618
-3.710253,72,5.435237
-54.266666,605,5.611126
-128.747824,1500,6.069097
-129.696853,1500,6.504957
-129.782621,1500,6.950139
-29.091816,327,7.041948
-82.601817,946,7.338927
-134.547916,1500,7.781251
-132.593052,1500,8.217822
-132.354235,1500,8.657743
-133.557928,1500,9.095191
-131.427933,1500,9.542684
-131.181868,1500,9.978544
-130.670747,1500,10.422573
-2.622735,22,10.428826
-1.330233,15,10.432931
-130.54416,1500,10.866048
-2.392244,74,10.886529
-3.463812,66,10.904912
-1.375793,25,10.911976
-89.536882,1005,11.205063
-127.714782,1500,11.646901
-3.19609,23,11.653461
-131.6967,1500,12.088044
-128.014071,1500,12.537811
-1.045382,26,12.544899
-64.924883,739,12.765568
-4.614104,49,12.779147
-128.480154,1500,13.217804
-124.7036,1500,13.66035
-125.912993,1500,14.099403
-2.123004,33,14.10872
-131.460717,1500,14.619331
-80.129464,944,15.453489
-99.337528,1130,16.454354
-61.537409,719,17.085656
-1.952992,20,17.102868
-56.45364,604,17.681724
-0.966954,35,17.709794
-3.11178,51,17.75509
-13.986599,189,17.917581
-24.244955,296,18.198024
-2.783242,49,18.243113
-42.503744,527,18.708628
-129.910448,1500,20.051827
-3.427642,49,20.095995
-130.211681,1500,21.435878
-1.908719,37,21.467417
-131.016664,1500,22.823184
-1.023566,35,22.853353
-129.870632,1500,24.195214
-130.427119,1500,25.544126
-125.397085,1500,26.859782
-126.495901,1500,28.193648
-128.359698,1500,29.399206
-129.735022,1500,30.740606
-2.521156,39,30.772686
-126.412083,1500,32.108973
-102.905157,1228,33.209104
-3.950041,41,33.247329
-4.201933,56,33.296919
-122.145014,1500,34.638799
-3.572599,47,34.678809
-2.097531,42,34.716497
-113.66219,1401,35.970113
-62.143563,780,36.650047
-3.122177,48,36.69301
-22.869048,318,36.9842
-7.678407,112,37.078716
-75.465359,983,37.972049
-117.357768,1500,39.305023
-118.78871,1500,40.661715
-119.172717,1471,41.968574
-125.238646,1500,43.313021
-2.993725,28,43.338467
-120.19758,1500,44.681818
-115.600791,1500,46.031697
-2.479873,46,46.072807
-90.752253,1127,47.08102
-109.745014,1386,48.332416
-3.7354,61,48.387707
-74.467765,914,49.211354
-118.149759,1500,50.567133
-3.804894,68,50.629172
-4.547398,55,50.678261
-74.006327,914,51.530039
-114.756307,1500,52.904083
-112.757424,1500,54.256732
-90.967017,1194,55.339626
-70.299741,881,56.14161
-2.135504,21,56.161456
-3.566166,48,56.20496
-113.897776,1500,57.563954
-5.615025,77,57.632852
-1.4677,22,57.653008
-32.185104,388,58.000793
-10.137486,145,58.131676
-2.379875,26,58.154116
-2.625178,35,58.18648
-1.383177,16,58.20031
-100.643527,1390,59.484087
-2.617563,36,59.516173
-1.91311,38,59.545495
-2.888366,38,59.580554
-5.517932,70,59.641071
-45.911752,551,60.136633
-111.202167,1500,61.518352
-1.945512,29,61.544054
-18.753877,218,61.738118
-3.247219,28,61.763375
-79.272449,995,62.668138
-115.043143,1500,64.062009
-36.518643,484,64.499318
-14.28825,189,64.670511
