#{"t_start": 1678650731.2070935, "env_id": null}
r,l,t
-133.077791,1500,1.152961
-127.129082,1500,2.272855
-68.75049,804,2.875624
-2.183802,43,2.906741
-135.127132,1500,4.028992
-128.011357,1500,8.505554
-127.896773,1500,9.624236
-128.820022,1500,10.744078
-88.245298,999,11.490903
-35.34453,430,11.814205
-129.769432,1500,16.287229
-126.631389,1500,17.406444
-125.004421,1500,18.524003
-1.984132,36,18.55036
-3.38006,30,18.572534
-11.689367,137,18.673753
-35.609123,414,18.984072
-8.584855,94,19.051751
-38.111347,476,19.394456
-119.515527,1500,23.852492
-1.988597,31,23.874956
-19.518496,251,24.059671
-57.653638,770,24.640922
-3.519035,53,24.680112
-3.337882,47,24.714846
-115.235873,1500,25.842138
-49.630504,654,26.326368
-3.256944,27,26.346419
-9.267964,105,26.423768
-12.419507,151,26.549341
-1.117159,43,26.580714
-105.526538,1324,27.558355
-13.020082,171,27.681832
-4.147755,50,27.718398
-3.055015,34,27.742898
-34.408703,445,28.076163
-2.745371,34,28.100719
-113.422792,1500,31.639875
-3.123589,31,31.654745
-18.649714,244,31.773743
-1.750276,15,31.781076
-6.058575,69,31.824585
-65.954763,851,32.239778
-23.892461,302,32.397014
-7.668085,108,32.449084
-60.746979,803,32.940163
-0.197911,33,32.963977
-3.378506,40,32.992643
-6.606831,91,33.058177
-1.246299,20,33.07265
-86.735009,1106,33.898334
-1.581206,43,33.929578
-45.606881,638,34.412569
-1.905942,46,34.446578
-14.867319,183,34.582136
-13.965234,181,34.71645
-36.945057,543,38.479417
-24.343141,369,38.773641
-4.21467,46,38.807643
-2.35476,36,38.83415
-15.489289,234,39.005124
-12.480996,172,39.132384
-3.091551,52,39.170441
-2.742632,43,39.201975
-1.304907,31,39.224519
-4.089187,66,39.287091
-4.069871,43,39.318471
-4.346687,54,39.35807
-3.131899,39,39.386553
-15.408455,198,39.533005
-15.477444,192,39.675428
-8.450219,110,39.756777
-4.075094,66,39.805537
-2.524296,31,39.828547
-22.87487,353,40.10282
-43.557275,603,40.546579
-5.62659,69,40.597432
-1.513747,12,40.606288
-79.282306,1090,41.424299
-11.226174,136,41.529332
-1.257079,26,41.548211
-4.998819,65,41.59604
-66.000513,890,42.26903
-4.9693,97,42.340478
-42.09581,612,42.79367
-56.066089,818,46.76849
-1.851043,26,46.78763
-5.425303,93,46.855623
-1.535993,32,46.878916
-47.736197,696,47.406822
-10.183287,136,47.507663
-1.49601,38,47.535185
-3.487484,45,47.566103
-4.379584,47,47.600235
-17.953688,249,47.784452
-3.678477,44,47.816877
-0.748841,14,47.827134
-14.157788,203,47.990751
-4.748115,84,48.05188
-20.115463,294,48.268324
-7.429988,135,48.366166
-4.119355,64,48.413651
-2.204236,38,48.441879
-1.224213,29,48.463526
-3.859111,58,48.505948
-6.502463,93,48.574124
-1.235532,17,48.586597
-66.980874,995,49.331524
-4.878504,84,49.409318
-1.223687,19,49.423236
-3.418271,41,49.453332
-1.554153,23,49.470175
-20.123256,317,49.70358
-5.532467,64,49.750956
-28.14011,431,50.068044
-2.320422,50,50.119173
-9.002068,122,50.210845
-13.90509,226,50.376706
-19.262435,253,50.563138
-1.816441,36,50.589491
-0.970839,23,50.606429
-3.267377,41,50.636747
-1.677438,52,50.674555
-2.2759,33,50.699001
-31.488518,462,54.40807
-7.671447,131,54.506456
-6.392413,76,54.563678
-13.557107,238,54.74037
-1.486169,42,54.771193
-15.717412,234,54.943597
-6.585763,133,55.055437
-1.616246,66,55.103085
-3.131153,47,55.13721
-15.671527,252,55.321116
-9.192402,122,55.408706
-5.044153,65,55.456272
-16.029236,273,55.656013
-2.020826,37,55.683086
-4.291569,56,55.738734
-8.486379,149,55.847424
-4.097678,62,55.892624
-9.956202,156,56.006321
-4.503882,71,56.058216
-4.865544,90,56.123255
-6.243654,138,56.22178
-3.166422,63,56.267939
-10.596273,166,56.389162
-9.320978,147,56.511699
-4.064488,66,56.55996
-17.830695,275,56.761337
-5.174638,113,56.843848
-4.660344,75,56.896852
-11.564174,171,57.02367
-0.977035,50,57.06035
-2.576311,35,57.085928
-13.72228,207,57.252724
-5.836325,105,57.328872
-2.598102,33,57.353079
-13.903038,197,57.4968
-3.093799,80,57.555116
-22.470845,329,57.79222
-13.539854,188,57.930209
-1.389897,38,57.972794
-30.783705,478,58.323542
-4.344033,61,58.367707
-1.401614,23,58.383358
-2.623339,35,58.409096
-1.925664,41,58.439091
-4.714213,84,58.500655
-7.323741,119,58.586863
-3.418941,89,58.651797
-2.585655,28,58.672318
-2.153453,31,58.709389
-4.788435,74,58.763699
-2.735377,70,62.162557
-9.92978,176,62.293857
-2.325783,40,62.323871
-8.660651,114,62.40947
-6.962577,99,62.483492
-2.016241,31,62.506668
-2.230131,30,62.529226
-4.196484,73,62.583908
-2.733395,41,62.613909
-4.652819,105,62.690529
-6.500735,118,62.776761
-6.503191,126,62.886549
-4.607518,94,62.957404
-5.455153,107,63.038266
-3.779287,49,63.075208
-9.679115,180,63.211338
-1.092135,36,63.237928
-1.420346,30,63.259187
-2.570103,36,63.28624
-3.824238,81,63.347093
-8.259026,122,63.439669
-8.465588,131,63.540012
-11.365738,190,63.700025
-4.923324,84,63.763551
-1.753118,19,63.777934
-2.999294,35,63.804142
-1.012781,26,63.823786
-2.3115,27,63.844095
-9.510058,119,63.934083
-2.170332,35,63.960333
-3.865612,101,64.034514
-1.073977,32,64.058816
-7.790676,134,64.160141
-1.040734,19,64.174582
-0.501839,67,64.22522
-1.994868,56,64.267537
-2.40366,48,64.304005
-4.509783,71,64.373031
-6.772911,119,64.464534
-2.571572,26,64.484356
-1.717546,35,64.510728
-1.642294,40,64.540841
-8.231128,148,64.652648
-4.097464,60,64.698072
-1.78657,38,64.726892
-2.181841,49,64.763698
-5.839589,98,64.835081
-2.925441,32,64.859151
-3.832102,45,64.893414
-1.708789,43,64.925894
-6.203599,130,65.02388
-5.91019,108,65.120492
-1.944601,36,65.147577
-5.200899,62,65.194653
-4.168431,63,65.242106
-2.44583,33,65.266922
-1.195273,39,65.296455
-4.576648,71,65.350434
-3.936937,66,65.400788
-5.619743,76,65.458328
-10.75316,161,65.578789
-6.851917,126,65.676089
-12.194376,199,65.827993
0.339164,29,65.850029
-2.823057,31,65.888557
-3.168031,38,65.917481
-4.149754,80,65.978024
-4.18707,70,66.03142
-2.439596,22,66.047933
-3.584725,53,66.088296
-1.336129,26,66.107828
-2.887355,22,66.124645
-2.172401,17,66.137878
-1.535279,51,66.176538
-1.901305,30,66.199729
-12.862862,180,66.336537
-5.122923,57,66.379993
-6.670906,111,66.464706
-3.239611,50,66.503005
-10.890333,213,66.6798
-1.858487,37,66.70787
-2.93295,51,66.747265
-4.644122,57,66.790685
-0.213805,29,66.812657
-9.822607,178,70.420916
-3.951154,55,70.463987
-2.501535,39,70.493961
-0.727819,28,70.515649
-6.413951,106,70.598512
-2.618717,43,70.6318
-6.411669,91,70.702393
-3.103204,50,70.74072
-1.782593,40,70.771489
-5.080747,91,70.842004
-3.08624,51,70.880915
-6.976281,108,70.977134
-4.027149,51,71.016159
-5.188172,80,71.077014
-0.86204,27,71.097701
-2.67494,24,71.116142
-0.511506,24,71.134108
-1.96699,35,71.160553
-3.770758,59,71.205657
-3.523296,54,71.246587
-2.178732,30,71.269377
-2.389031,50,71.307293
-7.170756,107,71.388446
-7.087479,98,71.463416
-1.893818,43,71.496422
-1.548535,25,71.515426
