#{"t_start": 1679142127.6260676, "env_id": null}
r,l,t
-121.358971,1500,1.135886
-122.541573,1500,2.232394
-122.793653,1500,3.320588
-121.050956,1500,4.4587
-118.303335,1500,8.051087
-119.883665,1500,8.941842
-113.925771,1500,10.052796
-114.941703,1500,11.176609
-110.163298,1500,13.911183
-105.119861,1500,14.670148
-108.70217,1500,15.537522
-105.795659,1500,16.660567
-100.132516,1500,19.323829
-93.918008,1500,20.763506
-94.083708,1500,21.995565
-98.983618,1500,23.097927
-90.758308,1500,25.626431
-90.246465,1500,26.884264
-88.872034,1500,28.373358
-88.196404,1500,29.526175
-77.304291,1500,31.699039
-78.108516,1500,32.727542
-74.358413,1500,34.051151
-41.8233,819,34.842093
-80.190073,1500,36.074471
-63.818321,1500,38.658334
-1.08303,13,38.667835
-59.34649,1238,39.628434
-67.695037,1500,40.864788
-70.85302,1500,42.216702
-47.059116,1086,44.606076
-53.188104,1334,45.622896
-8.332028,136,45.747195
-33.445703,852,46.39254
-61.599374,1500,47.571097
-5.443925,122,47.671084
-58.448004,1500,49.005689
-18.110498,526,51.047484
-8.360987,276,51.254843
-2.676703,65,51.301607
-7.944221,245,51.489635
-21.864233,731,52.018419
-18.834751,690,52.55279
-1.431969,22,52.568704
-7.182344,229,52.734844
-4.332144,151,52.860206
-4.417008,126,52.957153
-4.896957,210,53.11882
-6.150274,155,53.240488
-1.097948,72,53.299035
-1.799974,35,53.327346
-11.186254,384,53.639588
-8.615046,226,53.805082
-21.176166,613,54.283672
-13.889558,469,54.688492
-35.482325,1137,57.476512
-1.260525,120,57.563243
0.149812,23,57.579808
-2.45959,48,57.615064
-8.391035,263,57.818557
-2.106231,135,57.932849
-9.946016,287,58.147405
-7.578785,292,58.357898
-1.508095,31,58.380136
-1.096865,18,58.392926
-5.220632,132,58.489671
-2.91641,67,58.540479
-0.793786,25,58.559649
-1.052281,41,58.590725
0.64863,19,58.604818
-6.80722,255,58.810893
-6.342364,225,58.983826
-11.309293,333,59.225945
-4.429343,123,59.31572
-0.438487,23,59.332601
-3.88531,109,59.423634
-7.776566,265,59.617059
-6.02624,238,59.797373
-5.716889,239,59.977691
-3.34529,103,60.055368
-0.948702,45,60.089232
-22.903671,774,60.684767
-2.573559,32,60.710766
-13.427454,473,61.100406
-0.528079,43,61.133782
-2.71806,71,61.188526
-1.2,14,61.199617
-1.23262,31,61.224815
-0.315453,18,61.238972
-8.109505,290,61.49219
-6.975465,253,61.739169
-3.998401,97,61.858615
-9.350289,351,62.251169
-4.507664,192,64.181088
-4.767765,202,64.327507
-4.077387,163,64.444715
-4.399097,82,64.516856
-6.591004,225,64.677604
-5.872637,230,64.841902
-1.981044,54,64.88044
-4.936813,317,65.111897
-1.536137,36,65.139081
-1.54867,140,65.257656
-3.546817,152,65.37027
-7.807869,283,65.585706
-3.412894,95,65.654217
-2.339205,135,65.752853
-2.068858,127,65.84458
-8.24777,302,66.074366
-1.195867,22,66.090538
-1.986988,49,66.125551
