#{"t_start": 1679192126.5317686, "env_id": null}
r,l,t
-3.87631,59,0.038167
0.110379,17,0.043353
-18.856283,292,0.131613
-5.926818,86,0.157595
-33.979832,445,0.291603
-11.267353,139,0.360681
-1.852865,23,0.367318
-0.238796,27,0.374933
-26.442792,370,0.485754
-2.362832,41,0.497907
-24.35521,291,0.585132
-3.024293,32,0.594671
-0.217995,17,0.599779
-0.771391,34,0.609995
-30.792924,428,0.752932
-6.270517,80,0.776828
-1.778672,19,0.782653
-4.800559,44,0.796023
-1.657442,12,0.79962
-9.813081,105,0.831122
-13.426275,181,0.885508
-15.209323,224,0.953115
-5.628382,127,0.996532
-1.144643,14,1.000754
-0.687034,10,1.003929
0.089958,16,1.008841
-1.318193,17,1.013946
-1.997487,16,1.01868
-20.153405,232,1.088225
-13.443701,188,1.144857
0.417429,51,1.159904
-5.238858,72,1.181799
-1.410374,16,1.186857
-49.164965,668,1.397525
-0.208796,24,1.40488
-21.299913,270,1.48596
-2.284165,17,1.491044
-15.490354,207,1.553156
-15.982955,188,1.613163
-1.951697,27,1.621236
-28.034221,366,1.731548
-4.413607,67,1.75155
-3.222875,41,1.763857
-33.573803,415,1.892514
-22.491038,260,1.970867
-2.297113,21,1.977187
-1.572556,14,1.981454
-3.768848,66,2.001111
-2.04735,15,2.005705
-2.960415,29,2.014421
-1.770475,25,2.021907
-7.818646,105,2.053387
-0.472926,8,2.05591
-3.071124,58,2.073
-2.194048,18,2.078532
-52.638411,697,2.294542
-2.076676,13,2.298661
-4.075373,50,2.313897
-22.008546,340,2.416062
-23.892347,312,2.521952
-17.709303,249,2.608129
-2.53858,46,2.624027
-4.021863,67,2.647137
-7.948379,115,2.686802
-1.452206,14,2.691906
-20.379954,257,2.779968
-4.992244,85,2.808553
-5.101067,73,2.833416
-2.078154,48,2.849916
-24.439275,338,2.974248
-33.080661,387,3.109982
-39.001435,506,3.297575
-9.68419,158,3.348134
-17.124299,227,3.41995
-4.609708,61,3.438953
-1.7018,29,3.447892
-9.800804,126,3.488156
-3.710926,43,3.501945
-9.245347,129,3.553161
-31.381453,367,3.668998
-1.148834,17,3.674515
-1.654925,30,3.683868
-15.42018,175,3.739629
-1.03741,27,3.74831
-1.788087,28,3.75754
-1.630681,11,3.761137
-7.484527,184,3.819333
-45.858355,642,4.029173
-2.25835,14,4.033849
-0.798266,57,4.052045
-42.364662,519,4.223556
-1.001796,11,4.22714
-29.37991,386,4.349916
-1.470304,23,4.357363
-0.220946,58,4.375808
-13.061709,169,4.429168
0.440626,18,4.435202
-4.555193,44,4.449829
-0.902617,9,4.452852
-32.773367,385,4.579002
-2.186747,15,4.583909
-48.729814,611,4.777108
-14.479102,210,4.847884
-23.285574,304,4.944152
-0.072865,13,4.948491
-16.894871,246,5.026547
-2.090015,26,5.03477
-45.621306,584,5.22971
-65.450548,910,5.528239
-21.239191,302,5.623927
-7.777678,91,5.653187
-0.617935,18,5.658913
-0.023818,18,5.664962
-4.165968,61,5.684152
-12.714753,155,5.733768
-0.638489,31,5.743731
-22.146779,274,5.840558
-3.159519,33,5.850938
-5.938004,73,5.874274
-11.139767,167,5.927116
-5.008338,63,5.947613
-5.73269,64,5.967756
-9.715174,189,6.02776
-7.396184,132,6.069532
-6.845684,125,6.109065
-21.584097,276,6.211716
-1.687048,11,6.215254
-23.54693,331,6.319732
-1.991609,13,6.323988
-4.90501,66,6.345177
-31.076955,432,6.490919
-2.48655,36,6.502445
-1.984893,18,6.508373
-6.852876,94,6.538264
-38.798967,452,6.683197
-12.349973,209,6.748881
-1.283104,14,6.753484
-49.450579,699,6.984779
-20.12895,296,7.078243
-1.640211,20,7.084683
-1.827232,17,7.090362
-0.19464,12,7.094228
-16.994795,229,7.174643
-7.17095,113,7.210477
-3.198559,74,7.234133
-0.933976,17,7.239555
-1.243114,27,7.248011
-0.813365,14,7.252366
-3.119605,33,7.262807
-15.956081,185,7.32162
-11.165106,150,7.369432
-4.084923,60,7.388045
-1.210569,26,7.396429
-25.913195,312,7.503368
-15.382591,180,7.560847
-16.022941,231,7.634118
-15.292595,230,7.707526
-0.817257,25,7.715483
-28.7411,377,7.844498
-0.375102,14,7.849066
-14.624192,237,7.924356
-6.598525,92,7.953829
-1.593134,19,7.959973
-6.354512,133,8.002133
-17.039211,232,8.075836
-2.80338,32,8.086226
-1.570254,13,8.090345
-7.773183,106,8.133646
-2.290395,43,8.147592
-12.291519,139,8.192105
-23.623507,280,8.282203
-0.019627,20,8.288507
-7.682704,122,8.327493
-20.91906,281,8.416707
-27.422371,316,8.521846
-3.194772,27,8.530442
-0.664038,10,8.533674
-28.859205,423,8.667811
-1.838944,33,8.678593
-5.639696,110,8.713592
-0.383595,13,8.717865
-18.94534,240,8.798655
0.305457,13,8.802839
-12.108684,169,8.856255
-8.681202,99,8.887851
-2.486424,37,8.899519
-25.236849,322,9.001399
-10.795863,159,9.05152
-1.249599,20,9.05807
-8.052816,113,9.103174
-67.583733,924,9.396666
-5.412593,55,9.423418
-6.38742,81,9.449095
-10.921597,136,9.492749
-3.029396,38,9.504922
-31.441494,425,9.63996
-4.662788,74,9.663361
-9.621574,123,9.702653
-1.738424,20,9.709043
-53.316201,689,9.935314
-3.869897,60,9.954379
-2.240878,39,9.966707
-7.007882,104,10.000184
-7.464399,85,10.027454
-2.061322,20,10.033886
-3.686472,50,10.049986
-31.466901,408,10.183427
-4.82026,51,10.199758
-36.034213,441,10.339525
-16.482667,211,10.414154
-1.470037,55,10.431404
-17.062386,238,10.506926
-2.05592,57,10.524851
-0.948335,12,10.528623
-14.140841,200,10.591717
-4.0748,68,10.613374
-10.87344,206,10.678424
-8.524436,98,10.717903
-41.701295,546,10.890968
-3.005505,26,10.899305
-28.89687,383,11.020853
-6.119691,121,11.068752
-4.096827,70,11.091026
-0.208888,18,11.096887
-2.288939,32,11.107213
-1.453039,20,11.113594
-8.112579,105,11.146466
-0.33574,7,11.14884
-31.90932,389,11.271843
-0.756835,13,11.27604
-8.538923,114,11.312133
-1.305697,15,11.316912
-13.464058,190,11.38706
-0.86041,23,11.394269
-15.981083,204,11.458959
-1.722453,53,11.476258
-2.784033,31,11.486174
-2.778659,19,11.492322
-20.421228,248,11.570997
-5.84268,83,11.597203
-1.782984,17,11.602637
-2.456062,31,11.612347
-13.074162,165,11.665107
-3.712825,59,11.683757
-4.155765,48,11.709381
0.699339,32,11.719555
-10.287601,120,11.757794
-0.253494,21,11.764521
-4.966007,46,11.779014
-7.8695,127,11.819133
-0.699901,9,11.82195
-45.687699,571,12.002434
-6.298805,71,12.036383
-9.632039,124,12.075782
-17.117125,242,12.152395
-6.294391,103,12.185117
-1.404477,21,12.191912
-1.854949,27,12.200653
-2.628814,28,12.209473
-3.370955,40,12.221989
-30.876222,421,12.3658
-43.258922,547,12.538906
-3.972791,34,12.549761
-14.198168,197,12.612005
-4.692733,68,12.633287
-21.774038,291,12.736793
-4.085117,87,12.764166
-1.204234,17,12.769664
-1.530627,15,12.774665
-5.918916,74,12.797972
-16.602922,187,12.857742
-3.751876,49,12.873353
-16.691735,246,12.951416
-14.275796,176,13.020105
-13.573768,189,13.08056
-2.587555,22,13.087567
-1.212322,23,13.09515
-16.402881,232,13.168977
-1.68918,12,13.172919
-0.689656,16,13.17804
-14.709962,192,13.239271
-7.268141,106,13.273049
-0.928968,26,13.28154
-1.234829,11,13.28511
-24.231062,313,13.393257
-0.719166,25,13.401157
-62.175918,819,13.668935
-3.676938,63,13.688979
-2.320632,27,13.697722
-6.815276,81,13.72354
-19.533121,247,13.802429
-9.882521,146,13.849041
-25.129047,344,13.958663
-16.627149,198,14.030578
-18.194313,214,14.099131
-3.668243,52,14.115189
-2.503856,24,14.122988
-2.37078,24,14.130617
-5.208668,68,14.152357
-10.869495,146,14.198644
-10.33388,117,14.236352
0.559154,16,14.241589
-36.739243,458,14.39728
-9.358185,151,14.445492
-1.125274,13,14.449837
-0.388573,26,14.45804
-19.391152,274,14.544933
-3.859342,54,14.562075
-1.696786,15,14.567052
-1.796845,29,14.576504
-35.434897,444,14.728197
-0.76649,13,14.732341
-24.28596,302,14.829136
-1.434297,7,14.831391
-16.42317,224,14.903196
-19.821779,260,14.996033
-4.214361,41,15.009373
-9.070946,110,15.04428
-2.076409,20,15.050755
-18.065362,231,15.123839
-24.005894,327,15.228878
-0.799006,24,15.236556
-1.867641,45,15.251208
-8.975621,113,15.287744
-20.940852,225,15.371906
-4.465872,43,15.385336
-11.414444,133,15.4279
-23.601904,312,15.527687
-1.955168,30,15.537321
-9.866301,111,15.573068
-11.430282,187,15.641058
1.250224,50,15.656949
-37.722033,497,15.81622
-21.084181,272,15.90342
-11.835191,159,15.954638
-24.202007,315,16.064246
-4.988214,91,16.093911
-10.508814,107,16.128232
-7.298754,94,16.158903
-8.721188,171,16.21374
-4.16949,73,16.237736
-19.100261,275,16.395276
-14.117324,201,16.575739
-10.982443,141,16.705189
-6.739574,95,16.78894
-2.118697,14,16.80295
-11.841975,184,16.969677
-4.121293,56,17.019721
-3.108194,31,17.048523
-2.832048,30,17.074517
-2.675385,41,17.110066
-4.179284,94,17.197299
-1.201009,26,17.227426
-0.954037,27,17.252237
-21.463049,255,17.487138
-1.112114,29,17.513259
-18.513819,236,17.728241
-5.107222,83,17.807721
-7.740756,106,17.902452
-13.930022,200,18.083442
-11.447269,148,18.225949
-2.19305,24,18.248118
-3.546233,57,18.302276
-11.707276,142,18.430427
-2.368922,26,18.455741
-44.096599,563,18.964936
