#{"t_start": 1678574748.2688982, "env_id": null}
r,l,t
0.620235,8,0.039052
-26.805298,351,0.309516
-1.607406,27,0.330294
-9.442801,113,0.416997
-1.496551,14,0.427839
-5.9162,91,0.497618
-7.930849,90,0.566848
-33.284341,424,0.923952
-5.574945,71,0.978413
-5.281246,130,1.077746
-0.099523,17,1.090782
-8.398283,109,1.174484
-15.927436,203,1.331146
-4.398073,84,1.395874
-35.810303,466,1.758084
-0.458934,28,1.779704
-26.520698,315,2.021273
-1.244062,24,2.039735
-4.078344,50,2.078301
-1.59815,17,2.091387
-4.633796,58,2.135968
-28.363329,358,2.415794
-41.688685,548,2.836746
-3.806644,36,2.864481
-26.24207,329,3.118424
-48.59674,598,3.582805
-7.600122,127,3.680244
-13.678351,170,3.811262
-1.077247,14,3.822368
-1.018313,9,3.829701
-0.835536,22,3.846898
-12.7051,157,3.973209
-28.085867,394,4.277758
-12.613057,155,4.397782
-4.014617,47,4.434224
-4.954999,55,4.476716
-0.36257,12,4.485821
-15.583138,214,4.651958
-4.150766,46,4.687833
-19.690077,271,8.272141
-26.555072,358,8.548365
-2.85661,22,8.565219
-8.974713,126,8.662227
-2.417877,36,8.689638
-2.110809,22,8.706401
-11.976563,150,8.821914
-2.026449,25,8.841529
-5.794678,89,8.91464
-22.591354,290,9.137917
-4.811321,51,9.177243
-0.06034,15,9.188843
-29.021998,351,9.46057
-13.303722,174,9.594659
-4.322171,51,9.638883
-1.967059,18,9.652845
-38.848126,513,10.048415
-7.859291,123,10.143381
-1.907768,53,10.184075
-0.748497,25,10.203482
-12.06445,155,10.322963
-9.375975,117,10.417389
-0.59126,8,10.423649
-0.150562,32,10.448207
-3.786902,82,10.511332
-1.835828,21,10.527437
-14.188377,194,10.677093
0.072399,22,10.694082
-12.361738,169,10.824115
-10.33772,129,10.923664
-1.157822,13,10.933851
-4.296988,79,10.994906
-10.778257,143,11.106223
-29.03526,349,11.381791
-26.614276,337,11.643831
-2.763891,24,11.662431
-7.96662,112,11.748852
-5.874865,75,11.806987
-1.115072,43,11.840259
-36.285988,446,12.191255
-0.792433,9,12.198271
-2.059446,45,12.233229
-0.856176,23,12.251297
-69.168145,876,12.934939
-4.568753,41,12.966155
-0.765893,13,16.348651
-0.720195,17,16.362116
-0.098061,19,16.377067
-5.676788,70,16.431428
-0.042897,25,16.450663
-6.202247,65,16.500596
-5.129072,55,16.542671
-17.579447,239,16.726773
-8.75262,102,16.805067
0.259682,12,16.814423
-6.384427,69,16.867119
-1.49281,31,16.89571
-9.318753,110,16.980351
-14.860947,188,17.124996
-3.077548,34,17.15113
-15.060446,185,17.293236
-14.500361,197,17.444394
-0.559131,15,17.455915
-8.76413,136,17.560916
-2.004325,21,17.577168
-14.042684,174,17.715207
-15.933146,226,17.888685
-3.949161,49,17.926543
-7.926241,82,17.98969
-2.157624,34,18.015995
-6.64016,102,18.094376
-4.218511,75,18.151816
-1.945533,20,18.167113
-1.064313,21,18.183339
-20.90526,259,18.384331
-0.549207,21,18.400652
-9.563156,119,18.499054
-1.031169,14,18.510001
-1.691111,22,18.527165
-2.096734,12,18.536564
-2.663126,56,18.580311
-2.38662,41,18.612379
-14.948717,181,18.753813
-2.528366,37,18.782515
-0.392765,12,18.791915
-0.714599,9,18.798969
-1.855314,11,18.807703
-8.127,108,18.891789
-3.414533,66,18.942922
-1.988817,23,18.960808
-2.230893,37,18.989754
-20.379438,247,19.181842
-1.503965,25,19.198139
-5.329496,117,19.294747
-4.732637,54,19.336732
-1.858832,39,19.367084
-16.757676,207,19.528625
-1.60918,13,19.538679
-2.526835,33,19.564523
-1.917782,12,19.573972
-22.058893,309,19.814589
-16.040474,186,19.959226
-0.979165,18,19.973262
-6.429762,81,20.041127
-12.096376,177,20.179162
-20.817347,244,20.368217
-12.889264,228,20.545629
-1.701411,28,20.567531
-1.054879,16,20.580037
-1.804795,12,20.589468
-10.967509,172,20.724986
-17.817938,274,20.941887
-2.48342,29,20.964255
-4.940445,57,21.008219
-0.831049,12,21.017513
-12.594885,261,24.595864
-1.650458,51,24.635166
-1.102422,14,24.645829
-15.801641,209,24.806463
-0.196258,11,24.814945
-1.29163,30,24.838115
-8.22281,139,24.959916
-2.24145,51,25.00136
-1.765332,14,25.012123
-2.211421,34,25.038023
-1.898985,16,25.050423
-2.232621,40,25.081183
-0.775076,20,25.096412
-0.459279,22,25.113125
-0.930711,22,25.129789
-8.700317,130,25.229075
-3.45352,33,25.254415
-0.16256,19,25.268761
-3.675621,49,25.306175
-0.910734,13,25.316066
-0.101622,20,25.331419
0.83376,36,25.358813
-0.86829,20,25.374122
-1.55372,26,25.394055
-0.372549,16,25.406468
-4.377367,76,25.464756
-2.363844,34,25.490844
-3.273665,63,25.539436
-2.581835,24,25.557804
-5.110933,70,25.611165
-5.578324,66,25.661746
-1.455233,8,25.668027
-4.401719,45,25.702795
-1.549499,18,25.716475
-0.100764,15,25.742672
-5.506549,71,25.797471
-1.237172,16,25.809275
-6.276686,83,25.873772
-1.790279,15,25.885314
-2.754206,32,25.909697
-6.106571,136,26.013946
-2.266247,36,26.041671
-2.606193,49,26.079152
-3.104091,36,26.106569
-6.232841,64,26.155856
-2.269557,34,26.181799
-5.73072,93,26.252749
-5.996736,61,26.299248
-2.222008,35,26.326185
-3.557615,59,26.371636
-6.00551,108,26.454577
-3.21764,55,26.497117
-8.786298,102,26.590008
-0.656357,16,26.602249
-7.639669,98,26.678193
-25.301086,296,26.904876
-11.32417,139,27.011301
0.355409,6,27.015992
-5.419341,92,27.086812
-1.714396,10,27.094543
-5.276801,106,27.17614
-3.210383,74,27.232808
-2.378265,26,27.252904
-6.404803,69,27.311126
-6.450794,93,27.382012
-0.371037,17,27.395061
-3.27635,45,27.429798
-4.683482,71,27.484582
-7.980659,113,27.570735
-2.198762,14,27.581582
-4.661101,49,27.618791
-0.151883,18,27.632762
-4.885204,59,27.678158
-1.554516,24,27.696947
-4.738324,91,27.766625
-6.646645,95,27.839617
-3.628999,47,27.875719
-1.676109,23,27.893246
-14.333613,176,28.027442
-3.816662,65,28.082642
-1.701465,12,28.091843
-17.002232,239,28.275005
-5.736193,89,28.343665
-1.28323,15,28.355315
-8.320638,145,28.466833
-26.509756,402,28.773865
-2.92523,62,28.82166
-4.733959,87,28.892705
-5.863864,100,28.968084
-11.993726,151,29.084851
-13.885348,172,29.216271
-1.938561,22,29.23347
-1.444089,9,29.240478
-11.838879,134,32.66941
-7.62421,140,32.777288
-0.993161,13,32.787278
-0.756727,16,32.799441
-0.782805,10,32.807359
-3.172098,56,32.850449
-3.680309,44,32.884248
-9.247246,166,33.024158
-6.40128,114,33.112081
-2.786031,25,33.13105
-1.578329,28,33.152368
-4.655185,88,33.219185
-0.673869,27,33.239874
-0.847097,23,33.257506
-1.796962,27,33.277912
-1.694748,21,33.294007
-3.485083,55,33.336444
-8.106166,110,33.420516
-2.895442,32,33.444985
-8.324658,112,33.531378
-0.538872,19,33.546337
-7.162616,89,33.616028
0.332872,12,33.62544
-0.948691,16,33.637943
-2.960593,36,33.665742
-3.686782,42,33.698127
-3.903842,73,33.773079
-2.530382,34,33.7981
-2.099165,15,33.809785
-0.032513,17,33.822769
-2.890113,30,33.846014
-7.372066,113,33.93408
-3.041105,63,33.983325
-2.295315,48,34.021142
-0.951969,23,34.039318
-1.774987,23,34.057342
-5.450603,69,34.111321
-9.347051,148,34.226381
-0.955394,24,34.24519
-1.844149,25,34.264713
-7.710207,127,34.364069
-1.294828,13,34.374245
-0.752856,33,34.399862
-1.050042,26,34.420037
-0.10764,13,34.430106
-2.973696,42,34.46295
-2.124152,38,34.492788
-1.888935,25,34.517187
0.521884,20,34.533124
-1.385139,10,34.541177
0.022068,15,34.553208
-2.537767,58,34.598744
-11.786349,178,34.738896
-3.713227,34,34.765537
-2.097101,14,34.776682
-0.569738,19,34.79172
-1.628793,34,34.818799
-2.499995,16,34.831637
-1.695093,10,34.83959
-3.562644,61,34.887263
0.21053,9,34.894462
-1.004442,14,34.905452
-0.728293,18,34.919685
-2.528973,31,34.943798
-0.802074,43,34.977367
-4.423276,76,35.036627
-1.467489,8,35.043023
-1.403733,20,35.058785
-6.761464,99,35.136163
-0.560953,28,35.157963
-19.331119,291,35.398842
-1.297713,46,35.434787
-3.637973,55,35.477926
-3.615048,33,35.503643
-1.965335,14,35.514512
-1.133148,20,35.529935
-5.679404,85,35.595827
-4.631052,61,35.643355
-3.122971,72,35.699799
-1.095498,25,35.719661
-2.696785,44,35.754641
-5.091408,67,35.807358
-0.084333,27,35.828629
-0.557151,15,35.840387
-0.857307,13,35.850875
-2.186045,16,35.863405
-4.134354,56,35.906791
