#{"t_start": 1679142127.6202445, "env_id": null}
r,l,t
-122.773239,1500,1.091228
-124.022079,1500,2.174954
-124.563699,1500,3.246984
-121.051613,1500,4.360609
-118.376118,1500,8.255748
-119.653158,1500,9.330166
-118.965553,1500,10.451905
-117.693492,1500,11.59586
-114.400353,1500,15.25161
-111.855688,1500,16.388425
-109.054099,1500,17.622672
-114.258655,1500,18.781743
-105.295952,1500,22.302786
-99.871593,1500,23.438084
-103.193866,1500,24.668738
-102.3681,1500,25.773234
-98.757305,1500,29.20149
-97.210778,1500,30.354034
-94.949535,1500,31.524103
-91.020855,1500,32.637629
-93.908415,1500,35.528843
-85.812051,1500,36.646866
-84.431321,1500,37.819285
-85.551542,1500,38.928299
-82.542159,1500,41.425648
-73.985163,1500,42.586032
-72.31332,1500,43.868237
-62.598795,1216,44.535382
-72.595181,1500,46.473339
-2.629401,25,46.486764
-60.28434,1500,47.382813
-61.999229,1500,48.462865
-63.43691,1500,49.764398
-64.627493,1500,51.640972
-27.945231,769,52.227367
-55.40544,1500,53.389755
-51.06343,1500,54.582834
-49.266557,1500,56.029446
-33.011142,837,58.196582
-41.08379,1500,59.330863
-9.021743,227,59.509634
-6.897036,204,59.662598
-16.114926,431,59.991466
-10.384972,336,60.258302
-14.199998,497,60.637243
-23.519826,877,61.347146
-7.639126,341,61.654148
-39.868795,1401,63.171159
-2.102451,27,63.197619
-11.980816,413,64.86586
-4.128437,77,64.921889
-35.3631,1500,66.056718
-6.38028,311,66.289701
-3.289625,178,66.431879
-1.646997,83,66.498198
-4.808094,216,66.670229
0.088574,45,66.72167
-8.085775,274,66.929455
-9.911149,361,67.212288
-4.262356,137,67.318736
-0.707296,38,67.345985
-4.433366,83,67.410624
-1.076749,25,67.429982
-1.854589,31,67.454127
-3.532175,272,67.677963
-14.220804,620,68.155477
-2.337615,119,68.257911
-1.053997,43,68.31195
-4.38977,136,68.438273
-1.6,16,68.452934
-5.416936,203,68.635905
-0.657333,16,68.651171
-2.332454,47,68.693946
-2.975573,180,68.86354
-1.579185,14,68.880314
-0.450713,21,68.90317
-0.847416,29,68.937074
-7.783485,328,69.301857
-1.154715,32,69.333492
-12.653,502,69.870003
-0.973142,116,71.332399
-4.448897,135,71.429921
-1.399979,12,71.438696
-0.640312,28,71.458758
-6.099933,149,71.567797
-1.028729,93,71.651712
-1.699423,46,71.686438
-2.39901,57,71.729101
-0.780647,30,71.751839
-1.13496,42,71.783296
-2.285245,46,71.81822
-1.488802,67,71.870862
-2.388478,148,71.99004
-1.934149,19,72.006256
-1.984032,35,72.034566
-3.260243,152,72.15571
-1.329571,79,72.215998
-0.327712,28,72.237056
-6.69776,363,72.522416
-4.285144,140,72.626055
-2.107849,110,72.712947
-0.833115,29,72.736558
0.11202,50,72.77699
-2.528196,69,72.834609
-1.099998,13,72.845394
-2.100234,89,72.918135
-5.283472,268,73.133873
-3.888885,101,73.229175
-3.996351,61,73.277262
-1.309142,38,73.306364
-16.824682,827,73.909305
-0.368075,37,73.950902
-1.614725,45,73.985403
-1.194,47,74.021339
-0.284195,116,74.109419
-0.608411,37,74.137996
-10.811893,533,74.543462
-2.38556,30,74.566745
-0.618979,59,74.611681
-1.144255,63,74.657837
-9.990258,371,74.99708
-9.77708,505,75.456215
-3.530382,171,75.648237
-0.518447,43,75.716044
-4.387286,105,75.819673
-1.298687,28,75.844988
-2.550426,47,75.892466
-11.497222,444,76.341151
-1.13563,21,76.365598
-0.520475,87,77.918941
-1.793204,87,77.981471
-0.841687,22,77.99754
-2.70419,230,78.174789
-0.367451,48,78.209483
-3.579029,198,78.352886
-4.551867,197,78.494551
-2.499496,89,78.561987
-2.340176,78,78.621095
-7.161986,374,78.929792
-1.17536,18,78.944916
-0.549348,29,78.968626
-2.008291,53,79.01182
-3.317738,98,79.091579
-0.181198,65,79.143538
-0.661242,80,79.205052
-1.226987,45,79.241255
-0.813725,75,79.30042
-1.226156,72,79.355393
-1.474568,91,79.424395
-1.374923,37,79.452327
-1.315414,39,79.4834
-1.737341,47,79.519286
-2.448456,111,79.60451
-1.709781,26,79.624412
-7.091599,161,79.762836
